,average,average,average,average,average,average,average,average,average,average,average,average,max,max,max,max,max,max,max,max,max,max,max,max,min,min,min,min,min,min,min,min,min,min,min,min
node_id,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0
measurement_bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28 19:30:00+00:00,3091.4740484429067,2925.230188679245,1824.2142857142858,3766.596837944664,40.19166666666667,64.22014925373135,-0.4897959183673469,-0.11320754716981132,8.765989743589742,9.027860465116277,42.44444444444444,38.5,5001.0,5012.0,28571.0,149786.0,164.0,176.0,47.0,29.0,39.024,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,-43.0,0.0,0.0,42.0,38.0
2023-03-28 19:45:00+00:00,2993.7753623188405,2859.9377431906614,4742.218934911242,4749.1325301204815,40.322274881516584,68.49787234042553,-0.3163265306122449,0.19480519480519481,9.745391304347825,8.691544910179639,42.5,38.5,5002.0,5014.0,216000.0,77143.0,164.0,176.0,49.0,35.0,39.024,30.016,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,-38.0,0.0,0.0,42.0,38.0
2023-03-28 20:00:00+00:00,3147.3903225806453,2832.0539419087136,4883.053921568628,4559.30081300813,45.30212765957447,64.7673469387755,-0.5221518987341772,0.13402061855670103,8.784491048593358,8.306780327868859,42.5,38.5,5002.0,5004.0,169714.0,40000.0,164.0,176.0,52.0,46.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,-47.0,0.0,0.0,42.0,38.0
2023-03-28 20:15:00+00:00,2953.890410958904,1565.6333333333334,6390.022727272727,3711.222222222222,44.925925925925924,64.66666666666667,1.0,-0.39436619718309857,11.090042553191497,1.9374222222222224,42.55555555555556,38.5,5002.0,4003.0,146571.0,40000.0,163.0,176.0,44.0,3.0,39.024,5.52,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,-3.0,0.0,0.0,42.0,38.0
2023-03-28 20:30:00+00:00,3079.022099447514,3052.880530973451,2578.1162790697676,4283.680555555556,43.41059602649007,69.60185185185185,-0.30092592592592593,0.5116279069767442,8.886310756972117,9.554948805460748,42.42857142857143,38.666666666666664,5001.0,5012.0,40000.0,77143.0,164.0,176.0,48.0,44.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-42.0,0.0,0.0,42.0,38.0
2023-03-28 20:45:00+00:00,3093.1070234113713,2848.4137931034484,2318.8137254901962,6251.065891472868,37.90530303030303,65.00840336134453,-0.392226148409894,0.47435897435897434,8.670412213740455,8.268519480519483,42.666666666666664,38.5,5001.0,5004.0,40000.0,216000.0,164.0,176.0,47.0,44.0,39.024,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,-43.0,0.0,0.0,42.0,38.0
2023-03-28 21:00:00+00:00,3149.909090909091,2807.3224043715845,4839.4625850340135,3706.905027932961,38.6764705882353,67.05625,-0.10303030303030303,0.7807486631016043,9.864722891566275,7.8798283261802515,42.5,38.5,5001.0,5013.0,169714.0,40000.0,164.0,176.0,39.0,44.0,39.056,30.016,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,-46.0,0.0,0.0,42.0,38.0
2023-03-28 21:15:00+00:00,3163.9411764705883,2964.860465116279,3154.2047244094488,5806.898203592815,38.62264150943396,67.359477124183,-0.668918918918919,0.5376884422110553,9.123540983606555,8.567333333333329,42.5,38.5,5001.0,5012.0,69429.0,216000.0,164.0,176.0,8.0,40.0,39.056,30.016,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-35.0,0.0,0.0,42.0,38.0
2023-03-28 21:30:00+00:00,3152.0103626943005,2756.733333333333,4069.2063492063494,3286.294478527607,45.1,67.05,-0.3143939393939394,0.2621951219512195,9.069410788381743,8.483037037037034,42.5,38.5,5002.0,5004.0,57857.0,40000.0,164.0,176.0,36.0,49.0,39.024,30.016,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.0,-49.0,0.0,0.0,42.0,38.0
2023-03-28 21:45:00+00:00,660.2833333333333,2657.4893617021276,4847.117647058823,2144.4050632911394,52.42857142857143,74.04347826086956,0.5955555555555555,0.031914893617021274,2.732307692307693,6.737103448275861,42.0,38.5,4011.0,4513.0,40000.0,40000.0,164.0,175.0,32.0,6.0,8.592,25.04,42.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-3.0,0.0,0.0,42.0,38.0
